domain,https_usage,has_https_rr,rr_count,ech_present,dnssec_present,records,param_flags.mode,param_flags.alpn,param_flags.ipv4hint,param_flags.ipv6hint,param_flags.dynamic_config
hentairead.com,True,True,1,True,True,"[{'rdata_text': '1 . alpn=""h3,h2"" ipv4hint=""104.21.21.146,172.67.199.33"" ech=""AEX+DQBBvAAgACDzSxc1dLFVyAsIjDFyyTWpuTirqoIfGQWzryoU9y42WQAEAAEAAQASY2xvdWRmbGFyZS1lY2guY29tAAA="" ipv6hint=""2606:4700:3030::ac43:c721,2606:4700:3032::6815:1592""', 'priority': 1, 'target': '.'}]",Service,True,True,True,True
hsex.men,True,True,1,True,True,"[{'rdata_text': '1 . alpn=""h3,h2"" ipv4hint=""104.21.71.68,172.67.143.186"" ech=""AEX+DQBBvAAgACDzSxc1dLFVyAsIjDFyyTWpuTirqoIfGQWzryoU9y42WQAEAAEAAQASY2xvdWRmbGFyZS1lY2guY29tAAA="" ipv6hint=""2606:4700:3031::6815:4744,2606:4700:3035::ac43:8fba""', 'priority': 1, 'target': '.'}]",Service,True,True,True,True
javsek.net,False,True,1,True,True,"[{'rdata_text': '1 . alpn=""h3,h2"" ipv4hint=""104.21.3.52,172.67.130.66"" ech=""AEX+DQBBvAAgACDzSxc1dLFVyAsIjDFyyTWpuTirqoIfGQWzryoU9y42WQAEAAEAAQASY2xvdWRmbGFyZS1lY2guY29tAAA="" ipv6hint=""2606:4700:3030::6815:334,2606:4700:3033::ac43:8242""', 'priority': 1, 'target': '.'}]",Service,True,True,True,True
javtiful.com,True,True,1,True,True,"[{'rdata_text': '1 . alpn=""h3,h2"" ipv4hint=""104.21.31.154,172.67.178.57"" ech=""AEX+DQBBvAAgACDzSxc1dLFVyAsIjDFyyTWpuTirqoIfGQWzryoU9y42WQAEAAEAAQASY2xvdWRmbGFyZS1lY2guY29tAAA="" ipv6hint=""2606:4700:3031::6815:1f9a,2606:4700:3036::ac43:b239""', 'priority': 1, 'target': '.'}]",Service,True,True,True,True
nekopoi.care,True,True,1,True,True,"[{'rdata_text': '1 . alpn=""h2"" ipv4hint=""104.21.14.33,172.67.157.174"" ech=""AEX+DQBBvAAgACDzSxc1dLFVyAsIjDFyyTWpuTirqoIfGQWzryoU9y42WQAEAAEAAQASY2xvdWRmbGFyZS1lY2guY29tAAA="" ipv6hint=""2606:4700:3036::6815:e21,2606:4700:3036::ac43:9dae""', 'priority': 1, 'target': '.'}]",Service,True,True,True,True
rou.video,True,True,1,True,True,"[{'rdata_text': '1 . alpn=""h3,h2"" ipv4hint=""104.21.91.24,172.67.208.217"" ech=""AEX+DQBBvAAgACDzSxc1dLFVyAsIjDFyyTWpuTirqoIfGQWzryoU9y42WQAEAAEAAQASY2xvdWRmbGFyZS1lY2guY29tAAA="" ipv6hint=""2606:4700:3033::ac43:d0d9,2606:4700:3035::6815:5b18""', 'priority': 1, 'target': '.'}]",Service,True,True,True,True
rule34.us,True,True,1,True,True,"[{'rdata_text': '1 . alpn=""h3,h2"" ipv4hint=""104.21.20.223,172.67.194.181"" ech=""AEX+DQBBvAAgACDzSxc1dLFVyAsIjDFyyTWpuTirqoIfGQWzryoU9y42WQAEAAEAAQASY2xvdWRmbGFyZS1lY2guY29tAAA="" ipv6hint=""2606:4700:3030::ac43:c2b5,2606:4700:3035::6815:14df""', 'priority': 1, 'target': '.'}]",Service,True,True,True,True
semprot.com,True,True,1,True,True,"[{'rdata_text': '1 . alpn=""h3,h2"" ipv4hint=""104.21.9.82,172.67.130.214"" ech=""AEX+DQBBvAAgACDzSxc1dLFVyAsIjDFyyTWpuTirqoIfGQWzryoU9y42WQAEAAEAAQASY2xvdWRmbGFyZS1lY2guY29tAAA="" ipv6hint=""2606:4700:3032::ac43:82d6,2606:4700:3035::6815:952""', 'priority': 1, 'target': '.'}]",Service,True,True,True,True
voz.vn,True,True,1,True,True,"[{'rdata_text': '1 . alpn=""h3,h2"" ipv4hint=""104.26.2.171,104.26.3.171,172.67.68.194"" ech=""AEX+DQBBvAAgACDzSxc1dLFVyAsIjDFyyTWpuTirqoIfGQWzryoU9y42WQAEAAEAAQASY2xvdWRmbGFyZS1lY2guY29tAAA="" ipv6hint=""2606:4700:20::681a:2ab,2606:4700:20::681a:3ab,2606:4700:20::ac43:44c2""', 'priority': 1, 'target': '.'}]",Service,True,True,True,True
91porny.com,True,True,1,True,True,"[{'rdata_text': '1 . alpn=""h3,h2"" ipv4hint=""104.21.1.200,172.67.129.227"" ech=""AEX+DQBBvAAgACDzSxc1dLFVyAsIjDFyyTWpuTirqoIfGQWzryoU9y42WQAEAAEAAQASY2xvdWRmbGFyZS1lY2guY29tAAA="" ipv6hint=""2606:4700:3032::6815:1c8,2606:4700:3036::ac43:81e3""', 'priority': 1, 'target': '.'}]",Service,True,True,True,True
pcpartpicker.com,True,True,1,True,True,"[{'rdata_text': '1 . alpn=""h3,h2"" ipv4hint=""104.17.156.24,104.18.99.52"" ech=""AEX+DQBBvAAgACDzSxc1dLFVyAsIjDFyyTWpuTirqoIfGQWzryoU9y42WQAEAAEAAQASY2xvdWRmbGFyZS1lY2guY29tAAA=""', 'priority': 1, 'target': '.'}]",Service,True,True,False,True
haveibeenpwned.com,True,True,1,True,True,"[{'rdata_text': '1 . alpn=""h3,h2"" ipv4hint=""104.16.123.33,104.16.124.33"" ech=""AEX+DQBBvAAgACDzSxc1dLFVyAsIjDFyyTWpuTirqoIfGQWzryoU9y42WQAEAAEAAQASY2xvdWRmbGFyZS1lY2guY29tAAA="" ipv6hint=""2606:4700::6810:7b21,2606:4700::6810:7c21""', 'priority': 1, 'target': '.'}]",Service,True,True,True,True
